,país,religión predominante,influencia cultural,nivel económico (pib per cápita),legalidad de la homosexualidad,matrimonio igualitario,protección contra discriminación,índice de felicidad,pib per cápita,índice de desarrollo,índice de desarrollo humano (idh),continente
0,Australia,Cristianismo,Occidental Progresista,10000,Legal,Sí,Sí,5,10000,0.5,0.6,Oceania
1,Fiyi,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,6,13000,0.55,0.64,Oceania
2,Islas Marshall,Cristianismo,Occidental Progresista,20000,Legal,No,No,7,16000,0.6,0.68,Oceania
3,Islas Salomón,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,8,19000,0.65,0.72,Oceania
4,Kiribati,Cristianismo,Occidental Progresista,15000,Legal,No,Sí,9,22000,0.7,0.76,Oceania
5,Micronesia,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,5,25000,0.75,0.8,Oceania
6,Nauru,Cristianismo,Occidental Progresista,10000,Legal,Sí,No,6,28000,0.8,0.84,Oceania
7,Nueva Zelanda,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,7,31000,0.85,0.88,Oceania
8,Palaos,Cristianismo,Occidental Progresista,20000,Legal,No,Sí,8,34000,0.9,0.92,Oceania
9,Papúa Nueva Guinea,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,9,37000,0.95,0.96,Oceania
10,Samoa,Cristianismo,Occidental Progresista,15000,Legal,No,No,5,10000,0.5,0.6,Oceania
11,Tonga,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,6,13000,0.55,0.64,Oceania
12,Tuvalu,Cristianismo,Occidental Progresista,10000,Legal,Sí,Sí,7,16000,0.6,0.68,Oceania
13,Vanuatu,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,8,19000,0.65,0.72,Oceania
14,Angola,Cristianismo,Occidental Progresista,10000,Legal,Sí,Sí,5,10000,0.5,0.6,Africa
15,Argelia,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,6,13000,0.55,0.64,Africa
16,Benín,Cristianismo,Occidental Progresista,20000,Legal,No,No,7,16000,0.6,0.68,Africa
17,Botsuana,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,8,19000,0.65,0.72,Africa
18,Burkina Faso,Cristianismo,Occidental Progresista,15000,Legal,No,Sí,9,22000,0.7,0.76,Africa
19,Burundi,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,5,25000,0.75,0.8,Africa
20,Cabo Verde,Cristianismo,Occidental Progresista,10000,Legal,Sí,No,6,28000,0.8,0.84,Africa
21,Camerún,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,7,31000,0.85,0.88,Africa
22,Chad,Cristianismo,Occidental Progresista,20000,Legal,No,Sí,8,34000,0.9,0.92,Africa
23,Comoras,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,9,37000,0.95,0.96,Africa
24,República del Congo,Cristianismo,Occidental Progresista,15000,Legal,No,No,5,10000,0.5,0.6,Africa
