,país,índice de igualdad legal,legalidad_colectivo_lgbtiq+,fecha_despenalización,pena_máxima,constitución,protección_amplia,empleo,crimen_odio,incitación,prohibición_terapias,matrimonio_igualitario,uniones_civiles,adopción_conjunta,adopción_segundo_progenitor
0,Afghanistan,0.0,No,0,Pena de muerte,No,No,No,No,No,No,No,No,No,No
2,Albania,62.27,Si,1995,Desconocido,No,Si,Si,Si,Si,No,No,No,No,No
3,Algeria,3.42,No,0,2 años,No,No,No,No,No,No,No,No,No,No
5,Andorra,85.71,Si,1990,Desconocido,No,Si,Si,Si,No,No,No,Si,Si,Si
6,Angola,66.19,Si,2021,Desconocido,No,Si,Si,Si,Si,No,No,No,No,No
8,Antigua and Barbuda,84.21,No,0,15 años,No,No,No,Limitada,No,No,No,No,No,No
9,Argentina,87.17,Si,1903,Desconocido,No,Limitada,Limitada,Si,No,Limitada,Si,Si,Si,Si
10,Armenia,47.73,Si,2003,Desconocido,No,No,No,No,No,No,No,No,No,No
13,Australia,89.65,Si,1997,Desconocido,No,Si,Si,Limitada,Si,Limitada,Si,Si,Si,Si
14,Austria,92.96,Si,1971,Desconocido,No,Si,Si,Si,Si,No,Si,Si,Si,Si
15,Azerbaijan,48.18,Si,2000,Desconocido,No,No,No,No,No,No,No,No,No,No
16,Bahamas,46.19,Si,1991,Desconocido,No,No,No,No,No,No,No,No,No,No
17,Bahrain,30.77,Si,1976,Desconocido,No,No,No,No,No,No,No,No,No,No
18,Bangladesh,23.25,No,0,10 años,No,No,No,No,No,No,No,No,No,No
19,Barbados,54.76,No,0,Cadena perpetua,No,No,Si,No,No,No,No,No,No,No
20,Belarus,40.46,Si,1994,Desconocido,No,No,No,No,No,No,No,No,No,No
21,Belgium,87.05,Si,1795,Desconocido,No,Si,Si,Si,Si,No,Si,Si,Si,Si
22,Belize,55.0,Si,2016,Desconocido,No,No,No,No,No,No,No,No,No,No
23,Benin,43.81,Si,0,Desconocido,No,No,No,No,No,No,No,No,No,No
25,Bhutan,53.33,No,0,1 años,No,No,No,No,No,No,No,No,No,No
26,Bolivia,83.64,Si,1832,Desconocido,Si,Si,Si,Si,Si,No,No,No,No,No
28,Bosnia & Herzegovina,30.0,Si,2003,Desconocido,No,Si,Si,Si,Limitada,No,No,No,No,No
29,Bosnia and Herzegovina,63.33,Unknown,1998,Desconocido,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
30,Botswana,61.91,Si,2019,Desconocido,No,No,Si,No,No,No,No,No,No,No
31,Brazil,97.96,Si,1831,Desconocido,No,Si,Si,Si,Si,Si,Si,Si,Si,Si
34,Brunei,6.83,Unknown,2007,Desconocido,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
35,Brunei Darussalam,0.0,No,0,10 años,No,No,No,No,No,No,No,No,No,No
36,Bulgaria,55.46,Si,1968,Desconocido,No,Si,Si,No,Si,No,No,No,No,No
37,Burkina Faso,52.22,Si,0,Desconocido,No,No,No,No,No,No,No,No,No,No
38,Burundi,10.24,No,0,2 años,No,No,No,No,No,No,No,No,No,No
39,Cabo Verde,50.0,Si,2004,Desconocido,No,No,Si,Si,No,No,No,No,No,No
40,Cambodia,53.89,Si,0,Desconocido,No,No,No,No,No,No,No,No,No,No
41,Cameroon,5.5,No,0,5 años,No,No,No,No,No,No,No,No,No,No
42,Canada,95.46,Si,1969,Desconocido,No,Si,Si,Si,Si,Limitada,Si,Si,Si,Si
46,Central African Republic,31.67,Unknown,1996,Desconocido,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
47,Chad,18.05,No,0,2 años,No,No,No,Si,No,No,No,No,No,No
48,Chile,100.0,Si,1999,Desconocido,No,Si,Si,Si,No,No,No,Si,No,No
49,China,51.0,Si,1997,Desconocido,No,No,No,No,No,No,No,No,No,No
50,Colombia,94.55,Si,1981,Desconocido,No,Si,Si,Si,Si,No,Si,Si,Si,Si
51,Comoros,15.39,No,0,5 años,No,No,No,No,No,No,No,No,No,No
52,Congo,43.81,Si,0,Desconocido,No,No,No,No,No,No,No,No,No,No
54,Costa Rica,83.33,Si,1971,Desconocido,No,No,Si,No,No,No,Si,No,Si,Si
55,Cote d'Ivoire,33.16,Unknown,2016,Desconocido,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
56,Croatia,81.36,Si,1977,Desconocido,No,Si,Si,Si,Si,No,No,Si,No,No
57,Cuba,80.91,Si,1979,Desconocido,Si,Si,Si,No,No,No,No,No,No,No
59,Cyprus,80.0,Si,1998,Desconocido,No,Si,Si,Si,Si,No,No,Si,No,No
60,Czech Republic,80.0,Si,1962,Desconocido,No,Si,Si,No,No,No,No,Si,No,No
61,Czechia,71.25,Unknown,1962,Desconocido,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
62,Côte d'Ivoire,50.0,Si,0,Desconocido,No,No,No,No,No,No,No,No,No,No
64,Democratic Republic of Congo,34.21,Unknown,0,Desconocido,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
65,Denmark,91.59,Si,1933,Desconocido,No,Limitada,Si,Si,Si,No,Si,No,Si,Si
66,Djibouti,32.82,Si,0,Desconocido,No,No,No,No,No,No,No,No,No,No
67,Dominica,50.0,No,0,10 años,No,No,No,Limitada,No,No,No,No,No,No
68,Dominican Republic,50.0,Si,1822,Desconocido,No,No,Limitada,No,No,No,No,No,No,No
69,East Timor,46.32,Si,1975,Desconocido,No,No,No,Si,No,No,No,No,No,No
70,Ecuador,80.46,Si,1997,Desconocido,Si,Si,Si,Si,Si,Si,Si,Si,No,No
71,Egypt,7.33,DE FACTO,0,Indeterminado,No,No,No,No,No,No,No,No,No,No
72,El Salvador,48.57,Si,1826,Desconocido,No,No,Limitada,Si,No,No,No,No,No,No
73,Equatorial Guinea,48.57,Si,0,Desconocido,No,No,No,No,No,No,No,No,No,No
74,Eritrea,6.34,No,0,7 años,No,No,No,No,No,No,No,No,No,No
75,Estonia,83.64,Si,1992,Desconocido,No,Si,Si,No,Si,No,No,Si,No,Si
76,Eswatini,21.45,No,0,Indeterminado,No,No,No,No,No,No,No,No,No,No
77,Ethiopia,7.0,No,0,3 años,No,No,No,No,No,No,No,No,No,No
81,Fiji,53.57,Si,2010,Desconocido,Si,Si,Si,No,Limitada,Limitada,No,No,No,No
82,Finland,85.0,Si,1971,Desconocido,No,Si,Si,Si,Si,No,Si,No,Si,Si
83,France,90.0,Si,1791,Desconocido,No,Si,Si,Si,Si,No,Si,Si,Si,Si
86,Gabon,45.79,Si,2020,Desconocido,No,No,No,No,No,No,No,No,No,No
87,Gambia,12.56,No,0,14 años,No,No,No,No,No,No,No,No,No,No
88,Georgia,63.72,Si,2000,Desconocido,No,Si,Si,Si,No,No,No,No,No,No
