Pais,Año,Legislación
Afghanistan,2000,"Ilegal, pena de muerte"
Albania,2000,Legal
Algeria,2000,"Ilegal, prisión u otra pena"
Andorra,2000,Legal
Angola,2000,"Ilegal, prisión u otra pena"
Argentina,2000,Legal
Australia,2000,Legal
Austria,2000,Legal
Azerbaijan,2000,Legal
Bahamas,2000,Legal
Bahrain,2000,Legal
Bangladesh,2000,"Ilegal, prisión u otra pena"
Belarus,2000,Legal
Belgium,2000,Legal
Bolivia,2000,Legal
Bosnia and Herzegovina,2000,Legal
Botswana,2000,"Ilegal, prisión u otra pena"
Brazil,2000,Legal
Brunei,2000,"Ilegal, prisión u otra pena"
Bulgaria,2000,Legal
Cameroon,2000,"Ilegal, prisión u otra pena"
Canada,2000,Legal
Cape Verde,2000,"Ilegal, prisión u otra pena"
Chad,2000,Legal
Chile,2000,Legal
China,2000,Legal
Colombia,2000,Legal
Comoros,2000,"Ilegal, prisión u otra pena"
Croatia,2000,Legal
Cuba,2000,Legal
Cyprus,2000,Legal
Czechia,2000,Legal
Democratic Republic of Congo,2000,Legal
Denmark,2000,Legal
Dominica,2000,"Ilegal, prisión u otra pena"
Dominican Republic,2000,Legal
East Timor,2000,Legal
Ecuador,2000,Legal
Egypt,2000,Ambiguo
El Salvador,2000,Legal
Equatorial Guinea,2000,Legal
Eritrea,2000,"Ilegal, prisión u otra pena"
Estonia,2000,Legal
Eswatini,2000,Ilegal
Fiji,2000,"Ilegal, prisión u otra pena"
Finland,2000,Legal
France,2000,Legal
Gabon,2000,Legal
Gambia,2000,"Ilegal, prisión u otra pena"
Georgia,2000,Legal
Germany,2000,Legal
Ghana,2000,Ilegal
Greece,2000,Legal
Grenada,2000,Ilegal
Guatemala,2000,Legal
Guinea,2000,"Ilegal, prisión u otra pena"
Guyana,2000,Ilegal
Haiti,2000,Legal
Honduras,2000,Legal
Hungary,2000,Legal
Iceland,2000,Legal
India,2000,"Ilegal, prisión u otra pena"
Iran,2000,"Ilegal, pena de muerte"
Iraq,2000,Ambiguo
Ireland,2000,Legal
Israel,2000,Legal
Italy,2000,Legal
Jamaica,2000,Ilegal
Japan,2000,Legal
Jordan,2000,Legal
Kazakhstan,2000,Legal
Kenya,2000,"Ilegal, prisión u otra pena"
Kuwait,2000,"Ilegal, prisión u otra pena"
Kyrgyzstan,2000,Legal
Laos,2000,Legal
Latvia,2000,Legal
Lebanon,2000,Ambiguo
Lesotho,2000,Ilegal
Liberia,2000,"Ilegal, prisión u otra pena"
Libya,2000,"Ilegal, prisión u otra pena"
Liechtenstein,2000,Legal
Lithuania,2000,Legal
Madagascar,2000,Legal
Malawi,2000,"Ilegal, prisión u otra pena"
Malaysia,2000,"Ilegal, prisión u otra pena"
Malta,2000,Legal
Mauritania,2000,"Ilegal, pena de muerte"
Mauritius,2000,Ilegal
Mexico,2000,Legal
Moldova,2000,Legal
Monaco,2000,Legal
Montenegro,2000,Legal
Morocco,2000,"Ilegal, prisión u otra pena"
Mozambique,2000,Ambiguo
Myanmar,2000,"Ilegal, prisión u otra pena"
Namibia,2000,Ilegal
Nauru,2000,Ilegal
Netherlands,2000,Legal
New Zealand,2000,Legal
Nigeria,2000,"Ilegal, pena de muerte"
North Korea,2000,Legal
North Macedonia,2000,Legal
Norway,2000,Legal
Oman,2000,"Ilegal, prisión u otra pena"
Pakistan,2000,Ilegal
Panama,2000,"Ilegal, pena de muerte"
Paraguay,2000,Legal
Peru,2000,Legal
Poland,2000,Legal
Portugal,2000,Legal
Romania,2000,"Ilegal, prisión u otra pena"
Russia,2000,Varía según la región
Saint Vincent and the Grenadines,2000,"Ilegal, prisión u otra pena"
Samoa,2000,Ilegal
San Marino,2000,Legal
Sao Tome and Principe,2000,"Ilegal, prisión u otra pena"
Senegal,2000,"Ilegal, prisión u otra pena"
Serbia,2000,Legal
Sierra Leone,2000,Ilegal
Slovakia,2000,Legal
Slovenia,2000,Legal
Solomon Islands,2000,"Ilegal, prisión u otra pena"
Somalia,2000,"Ilegal, prisión u otra pena"
South Africa,2000,Legal
Spain,2000,Legal
Sri Lanka,2000,"Ilegal, prisión u otra pena"
Sudan,2000,"Ilegal, pena de muerte"
Suriname,2000,Legal
Sweden,2000,Legal
Switzerland,2000,Legal
Syria,2000,"Ilegal, prisión u otra pena"
Taiwan,2000,Legal
Tajikistan,2000,Legal
Tanzania,2000,"Ilegal, prisión u otra pena"
Thailand,2000,Legal
Togo,2000,"Ilegal, prisión u otra pena"
Tonga,2000,Ilegal
Trinidad and Tobago,2000,"Ilegal, prisión u otra pena"
Tunisia,2000,"Ilegal, prisión u otra pena"
Turkey,2000,Legal
Turkmenistan,2000,Ilegal
Uganda,2000,"Ilegal, prisión u otra pena"
Ukraine,2000,Legal
United Kingdom,2000,Legal
United States,2000,Varía según la región
Uruguay,2000,Legal
Uzbekistan,2000,Ilegal
Zambia,2000,Ilegal
