País,Año,Legislación
Afghanistan,2024,"Ilegal, pena de muerte"
Albania,2024,Legal
Algeria,2024,"Ilegal, prisión u otra pena"
Andorra,2024,Legal
Angola,2024,Legal
Antigua and Barbuda,2024,Legal
Argentina,2024,Legal
Armenia,2024,Legal
Australia,2024,Legal
Austria,2024,Legal
Azerbaijan,2024,Legal
Bahamas,2024,Legal
Bahrain,2024,Legal
Bangladesh,2024,"Ilegal, prisión u otra pena"
Barbados,2024,Legal
Belarus,2024,Legal
Belgium,2024,Legal
Belize,2024,Legal
Benin,2024,Legal
Bhutan,2024,Legal
Bolivia,2024,Legal
Bosnia and Herzegovina,2024,Legal
Botswana,2024,Legal
Brazil,2024,Legal
Brunei,2024,"Ilegal, prisión u otra pena"
Bulgaria,2024,Legal
Burkina Faso,2024,Legal
Burundi,2024,"Ilegal, prisión u otra pena"
Cambodia,2024,Legal
Cameroon,2024,"Ilegal, prisión u otra pena"
Canada,2024,Legal
Cape Verde,2024,Legal
Central African Republic,2024,Legal
Chad,2024,"Ilegal, prisión u otra pena"
Chile,2024,Legal
China,2024,Legal
Colombia,2024,Legal
Comoros,2024,"Ilegal, prisión u otra pena"
Congo,2024,Legal
Costa Rica,2024,Legal
Cote d'Ivoire,2024,Legal
Croatia,2024,Legal
Cuba,2024,Legal
Cyprus,2024,Legal
Czechia,2024,Legal
Democratic Republic of Congo,2024,Legal
Denmark,2024,Legal
Djibouti,2024,Legal
Dominica,2024,Legal
Dominican Republic,2024,Legal
East Timor,2024,Legal
Ecuador,2024,Legal
Egypt,2024,Ambiguo
El Salvador,2024,Legal
Equatorial Guinea,2024,Legal
Eritrea,2024,"Ilegal, prisión u otra pena"
Estonia,2024,Legal
Eswatini,2024,Ilegal
Ethiopia,2024,"Ilegal, prisión u otra pena"
Fiji,2024,Legal
Finland,2024,Legal
France,2024,Legal
Gabon,2024,Legal
Gambia,2024,"Ilegal, prisión u otra pena"
Georgia,2024,Legal
Germany,2024,Legal
Ghana,2024,Ilegal
Greece,2024,Legal
Grenada,2024,Ilegal
Guatemala,2024,Legal
Guinea,2024,"Ilegal, prisión u otra pena"
Guinea-Bissau,2024,Legal
Guyana,2024,Ilegal
Haiti,2024,Legal
Honduras,2024,Legal
Hungary,2024,Legal
Iceland,2024,Legal
India,2024,Legal
Indonesia,2024,Varía según la región
Iran,2024,"Ilegal, pena de muerte"
Iraq,2024,"Ilegal, prisión u otra pena"
Ireland,2024,Legal
Israel,2024,Legal
Italy,2024,Legal
Jamaica,2024,Ilegal
Japan,2024,Legal
Jordan,2024,Legal
Kazakhstan,2024,Legal
Kenya,2024,"Ilegal, prisión u otra pena"
Kiribati,2024,Ilegal
Kuwait,2024,"Ilegal, prisión u otra pena"
Kyrgyzstan,2024,Legal
Laos,2024,Legal
Latvia,2024,Legal
Lebanon,2024,Ambiguo
Lesotho,2024,Legal
Liberia,2024,"Ilegal, prisión u otra pena"
Libya,2024,"Ilegal, prisión u otra pena"
Liechtenstein,2024,Legal
Lithuania,2024,Legal
Luxembourg,2024,Legal
Madagascar,2024,Legal
Malawi,2024,"Ilegal, prisión u otra pena"
Malaysia,2024,"Ilegal, prisión u otra pena"
Maldives,2024,"Ilegal, prisión u otra pena"
Mali,2024,Legal
Malta,2024,Legal
Marshall Islands,2024,Legal
Mauritania,2024,"Ilegal, pena de muerte"
Mauritius,2024,Legal
Mexico,2024,Legal
Micronesia (country),2024,Legal
Moldova,2024,Legal
Monaco,2024,Legal
Mongolia,2024,Legal
Montenegro,2024,Legal
Morocco,2024,"Ilegal, prisión u otra pena"
Mozambique,2024,Legal
Myanmar,2024,"Ilegal, prisión u otra pena"
Namibia,2024,Legal
Nauru,2024,Legal
Nepal,2024,Legal
Netherlands,2024,Legal
New Zealand,2024,Legal
Nicaragua,2024,Legal
Niger,2024,Legal
Nigeria,2024,"Ilegal, pena de muerte"
North Korea,2024,Legal
North Macedonia,2024,Legal
Norway,2024,Legal
Oman,2024,"Ilegal, prisión u otra pena"
Pakistan,2024,"Ilegal, prisión u otra pena"
Palau,2024,Legal
Panama,2024,Legal
Papua New Guinea,2024,Ilegal
Paraguay,2024,Legal
Peru,2024,Legal
Philippines,2024,Legal
Poland,2024,Legal
Portugal,2024,Legal
Qatar,2024,"Ilegal, prisión u otra pena"
Romania,2024,Legal
Russia,2024,Varía según la región
Rwanda,2024,Legal
Saint Kitts and Nevis,2024,Legal
Saint Lucia,2024,Ilegal
Saint Vincent and the Grenadines,2024,"Ilegal, prisión u otra pena"
Samoa,2024,Ilegal
San Marino,2024,Legal
Sao Tome and Principe,2024,Legal
Saudi Arabia,2024,"Ilegal, pena de muerte"
Senegal,2024,"Ilegal, prisión u otra pena"
Serbia,2024,Legal
Seychelles,2024,Legal
Sierra Leone,2024,Ilegal
Singapore,2024,Legal
Slovakia,2024,Legal
Slovenia,2024,Legal
Solomon Islands,2024,"Ilegal, prisión u otra pena"
Somalia,2024,"Ilegal, pena de muerte"
South Africa,2024,Legal
South Korea,2024,Legal
South Sudan,2024,"Ilegal, prisión u otra pena"
Spain,2024,Legal
Sri Lanka,2024,"Ilegal, prisión u otra pena"
Sudan,2024,"Ilegal, prisión u otra pena"
Suriname,2024,Legal
Sweden,2024,Legal
Switzerland,2024,Legal
Syria,2024,"Ilegal, prisión u otra pena"
Taiwan,2024,Legal
Tajikistan,2024,Legal
Tanzania,2024,"Ilegal, prisión u otra pena"
Thailand,2024,Legal
Togo,2024,"Ilegal, prisión u otra pena"
Tonga,2024,Ilegal
Trinidad and Tobago,2024,Legal
Tunisia,2024,"Ilegal, prisión u otra pena"
Turkey,2024,Legal
Turkmenistan,2024,Ilegal
Tuvalu,2024,Ilegal
Uganda,2024,"Ilegal, pena de muerte"
Ukraine,2024,Legal
United Arab Emirates,2024,"Ilegal, pena de muerte"
United Kingdom,2024,Legal
United States,2024,Legal
Uruguay,2024,Legal
Uzbekistan,2024,Ilegal
Vanuatu,2024,Legal
Venezuela,2024,Legal
Vietnam,2024,Legal
Yemen,2024,"Ilegal, pena de muerte"
Zambia,2024,"Ilegal, prisión u otra pena"
Zimbabwe,2024,Ilegal
