País,Religión Predominante,Influencia Cultural,Nivel Económico (PIB per cápita),Legalidad de la Homosexualidad,Matrimonio Igualitario,Protección contra Discriminación,Índice de Felicidad,PIB per cápita,Índice de Desarrollo,Índice de Desarrollo Humano (IDH),Observaciones Culturales y Sociales
Antigua y Barbuda,Cristianismo,Occidental Progresista,10000,Legal,Sí,Sí,5,10000,0.5,0.6,Información cultural y social relevante para cada país.
Argentina,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,6,13000,0.55,0.64,Información cultural y social relevante para cada país.
Bahamas,Cristianismo,Occidental Progresista,20000,Legal,No,No,7,16000,0.6,0.68,Información cultural y social relevante para cada país.
Barbados,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,8,19000,0.65,0.72,Información cultural y social relevante para cada país.
Belice,Cristianismo,Occidental Progresista,15000,Legal,No,Sí,9,22000,0.7,0.76,Información cultural y social relevante para cada país.
Bolivia,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,5,25000,0.75,0.8,Información cultural y social relevante para cada país.
Brasil,Cristianismo,Occidental Progresista,10000,Legal,Sí,No,6,28000,0.8,0.84,Información cultural y social relevante para cada país.
Canadá,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,7,31000,0.85,0.88,Información cultural y social relevante para cada país.
Chile,Cristianismo,Occidental Progresista,20000,Legal,No,Sí,8,34000,0.9,0.92,Información cultural y social relevante para cada país.
Colombia,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,9,37000,0.95,0.96,Información cultural y social relevante para cada país.
Costa Rica,Cristianismo,Occidental Progresista,15000,Legal,No,No,5,10000,0.5,0.6,Información cultural y social relevante para cada país.
Cuba,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,6,13000,0.55,0.64,Información cultural y social relevante para cada país.
Dominica,Cristianismo,Occidental Progresista,10000,Legal,Sí,Sí,7,16000,0.6,0.68,Información cultural y social relevante para cada país.
Ecuador,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,8,19000,0.65,0.72,Información cultural y social relevante para cada país.
El Salvador,Cristianismo,Occidental Progresista,20000,Legal,No,No,9,22000,0.7,0.76,Información cultural y social relevante para cada país.
Estados Unidos,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,5,25000,0.75,0.8,Información cultural y social relevante para cada país.
Granada,Cristianismo,Occidental Progresista,15000,Legal,No,Sí,6,28000,0.8,0.84,Información cultural y social relevante para cada país.
Guatemala,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,7,31000,0.85,0.88,Información cultural y social relevante para cada país.
Guyana,Cristianismo,Occidental Progresista,10000,Legal,Sí,No,8,34000,0.9,0.92,Información cultural y social relevante para cada país.
Haití,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,9,37000,0.95,0.96,Información cultural y social relevante para cada país.
Honduras,Cristianismo,Occidental Progresista,20000,Legal,No,Sí,5,10000,0.5,0.6,Información cultural y social relevante para cada país.
Jamaica,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,6,13000,0.55,0.64,Información cultural y social relevante para cada país.
México,Cristianismo,Occidental Progresista,15000,Legal,No,No,7,16000,0.6,0.68,Información cultural y social relevante para cada país.
Nicaragua,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,8,19000,0.65,0.72,Información cultural y social relevante para cada país.
Panamá,Cristianismo,Occidental Progresista,10000,Legal,Sí,Sí,9,22000,0.7,0.76,Información cultural y social relevante para cada país.
Paraguay,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,5,25000,0.75,0.8,Información cultural y social relevante para cada país.
Perú,Cristianismo,Occidental Progresista,20000,Legal,No,No,6,28000,0.8,0.84,Información cultural y social relevante para cada país.
República Dominicana,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,7,31000,0.85,0.88,Información cultural y social relevante para cada país.
San Cristóbal y Nieves,Cristianismo,Occidental Progresista,15000,Legal,No,Sí,8,34000,0.9,0.92,Información cultural y social relevante para cada país.
San Vicente y las Granadinas,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,9,37000,0.95,0.96,Información cultural y social relevante para cada país.
Santa Lucía,Cristianismo,Occidental Progresista,10000,Legal,Sí,No,5,10000,0.5,0.6,Información cultural y social relevante para cada país.
Surinam,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,6,13000,0.55,0.64,Información cultural y social relevante para cada país.
Trinidad y Tobago,Cristianismo,Occidental Progresista,20000,Legal,No,Sí,7,16000,0.6,0.68,Información cultural y social relevante para cada país.
Uruguay,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,8,19000,0.65,0.72,Información cultural y social relevante para cada país.
Venezuela,Cristianismo,Occidental Progresista,15000,Legal,No,No,9,22000,0.7,0.76,Información cultural y social relevante para cada país.
