País,Religión Predominante,Influencia Cultural,Nivel Económico (PIB per cápita),Legalidad de la Homosexualidad,Matrimonio Igualitario,Protección contra Discriminación,Índice de Felicidad,PIB per cápita,Índice de Desarrollo,Índice de Desarrollo Humano (IDH),Observaciones Culturales y Sociales
Afganistán,Cristianismo,Occidental Progresista,10000,Legal,Sí,Sí,5,10000,0.5,0.6,Información cultural y social relevante para cada país.
Arabia Saudita,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,6,13000,0.55,0.64,Información cultural y social relevante para cada país.
Armenia,Cristianismo,Occidental Progresista,20000,Legal,No,No,7,16000,0.6,0.68,Información cultural y social relevante para cada país.
Azerbaiyán,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,8,19000,0.65,0.72,Información cultural y social relevante para cada país.
Bangladés,Cristianismo,Occidental Progresista,15000,Legal,No,Sí,9,22000,0.7,0.76,Información cultural y social relevante para cada país.
Baréin,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,5,25000,0.75,0.8,Información cultural y social relevante para cada país.
Birmania,Cristianismo,Occidental Progresista,10000,Legal,Sí,No,6,28000,0.8,0.84,Información cultural y social relevante para cada país.
Brunéi,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,7,31000,0.85,0.88,Información cultural y social relevante para cada país.
Bután,Cristianismo,Occidental Progresista,20000,Legal,No,Sí,8,34000,0.9,0.92,Información cultural y social relevante para cada país.
Camboya,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,9,37000,0.95,0.96,Información cultural y social relevante para cada país.
Catar,Cristianismo,Occidental Progresista,15000,Legal,No,No,5,10000,0.5,0.6,Información cultural y social relevante para cada país.
China,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,6,13000,0.55,0.64,Información cultural y social relevante para cada país.
Chipre,Cristianismo,Occidental Progresista,10000,Legal,Sí,Sí,7,16000,0.6,0.68,Información cultural y social relevante para cada país.
Corea del Norte,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,8,19000,0.65,0.72,Información cultural y social relevante para cada país.
Corea del Sur,Cristianismo,Occidental Progresista,20000,Legal,No,No,9,22000,0.7,0.76,Información cultural y social relevante para cada país.
Emiratos Árabes Unidos,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,5,25000,0.75,0.8,Información cultural y social relevante para cada país.
Filipinas,Cristianismo,Occidental Progresista,15000,Legal,No,Sí,6,28000,0.8,0.84,Información cultural y social relevante para cada país.
Georgia,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,7,31000,0.85,0.88,Información cultural y social relevante para cada país.
India,Cristianismo,Occidental Progresista,10000,Legal,Sí,No,8,34000,0.9,0.92,Información cultural y social relevante para cada país.
Indonesia,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,9,37000,0.95,0.96,Información cultural y social relevante para cada país.
Irak,Cristianismo,Occidental Progresista,20000,Legal,No,Sí,5,10000,0.5,0.6,Información cultural y social relevante para cada país.
Irán,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,6,13000,0.55,0.64,Información cultural y social relevante para cada país.
Israel,Cristianismo,Occidental Progresista,15000,Legal,No,No,7,16000,0.6,0.68,Información cultural y social relevante para cada país.
Japón,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,8,19000,0.65,0.72,Información cultural y social relevante para cada país.
Jordania,Cristianismo,Occidental Progresista,10000,Legal,Sí,Sí,9,22000,0.7,0.76,Información cultural y social relevante para cada país.
Kazajistán,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,5,25000,0.75,0.8,Información cultural y social relevante para cada país.
Kirguistán,Cristianismo,Occidental Progresista,20000,Legal,No,No,6,28000,0.8,0.84,Información cultural y social relevante para cada país.
Kuwait,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,7,31000,0.85,0.88,Información cultural y social relevante para cada país.
Laos,Cristianismo,Occidental Progresista,15000,Legal,No,Sí,8,34000,0.9,0.92,Información cultural y social relevante para cada país.
Líbano,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,9,37000,0.95,0.96,Información cultural y social relevante para cada país.
Malasia,Cristianismo,Occidental Progresista,10000,Legal,Sí,No,5,10000,0.5,0.6,Información cultural y social relevante para cada país.
Maldivas,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,6,13000,0.55,0.64,Información cultural y social relevante para cada país.
Mongolia,Cristianismo,Occidental Progresista,20000,Legal,No,Sí,7,16000,0.6,0.68,Información cultural y social relevante para cada país.
Nepal,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,8,19000,0.65,0.72,Información cultural y social relevante para cada país.
Omán,Cristianismo,Occidental Progresista,15000,Legal,No,No,9,22000,0.7,0.76,Información cultural y social relevante para cada país.
Pakistán,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,5,25000,0.75,0.8,Información cultural y social relevante para cada país.
Palestina,Cristianismo,Occidental Progresista,10000,Legal,Sí,Sí,6,28000,0.8,0.84,Información cultural y social relevante para cada país.
Rusia,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,7,31000,0.85,0.88,Información cultural y social relevante para cada país.
