País,Religión Predominante,Influencia Cultural,Nivel Económico (PIB per cápita),Legalidad de la Homosexualidad,Matrimonio Igualitario,Protección contra Discriminación,Índice de Felicidad,PIB per cápita,Índice de Desarrollo,Índice de Desarrollo Humano (IDH),Observaciones Culturales y Sociales
Albania,Cristianismo,Occidental Progresista,10000,Legal,Sí,Sí,5,10000,0.5,0.6,Información cultural y social relevante para cada país.
Alemania,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,6,13000,0.55,0.64,Información cultural y social relevante para cada país.
Andorra,Cristianismo,Occidental Progresista,20000,Legal,No,No,7,16000,0.6,0.68,Información cultural y social relevante para cada país.
Armenia,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,8,19000,0.65,0.72,Información cultural y social relevante para cada país.
Austria,Cristianismo,Occidental Progresista,15000,Legal,No,Sí,9,22000,0.7,0.76,Información cultural y social relevante para cada país.
Azerbaiyán,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,5,25000,0.75,0.8,Información cultural y social relevante para cada país.
Bélgica,Cristianismo,Occidental Progresista,10000,Legal,Sí,No,6,28000,0.8,0.84,Información cultural y social relevante para cada país.
Bielorrusia,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,7,31000,0.85,0.88,Información cultural y social relevante para cada país.
Bosnia y Herzegovina,Cristianismo,Occidental Progresista,20000,Legal,No,Sí,8,34000,0.9,0.92,Información cultural y social relevante para cada país.
Bulgaria,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,9,37000,0.95,0.96,Información cultural y social relevante para cada país.
Chipre,Cristianismo,Occidental Progresista,15000,Legal,No,No,5,10000,0.5,0.6,Información cultural y social relevante para cada país.
Croacia,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,6,13000,0.55,0.64,Información cultural y social relevante para cada país.
Dinamarca,Cristianismo,Occidental Progresista,10000,Legal,Sí,Sí,7,16000,0.6,0.68,Información cultural y social relevante para cada país.
Eslovaquia,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,8,19000,0.65,0.72,Información cultural y social relevante para cada país.
Eslovenia,Cristianismo,Occidental Progresista,20000,Legal,No,No,9,22000,0.7,0.76,Información cultural y social relevante para cada país.
España,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,5,25000,0.75,0.8,Información cultural y social relevante para cada país.
Estonia,Cristianismo,Occidental Progresista,15000,Legal,No,Sí,6,28000,0.8,0.84,Información cultural y social relevante para cada país.
Finlandia,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,7,31000,0.85,0.88,Información cultural y social relevante para cada país.
Francia,Cristianismo,Occidental Progresista,10000,Legal,Sí,No,8,34000,0.9,0.92,Información cultural y social relevante para cada país.
Georgia,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,9,37000,0.95,0.96,Información cultural y social relevante para cada país.
Grecia,Cristianismo,Occidental Progresista,20000,Legal,No,Sí,5,10000,0.5,0.6,Información cultural y social relevante para cada país.
Hungría,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,6,13000,0.55,0.64,Información cultural y social relevante para cada país.
Irlanda,Cristianismo,Occidental Progresista,15000,Legal,No,No,7,16000,0.6,0.68,Información cultural y social relevante para cada país.
Islandia,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,8,19000,0.65,0.72,Información cultural y social relevante para cada país.
Italia,Cristianismo,Occidental Progresista,10000,Legal,Sí,Sí,9,22000,0.7,0.76,Información cultural y social relevante para cada país.
