País,Seguridad,Descripción
Canadá,Seguro,Compromiso con la igualdad y diversidad.
Suecia,Seguro,Protección de los derechos LGBT.
Malta,Seguro,Líder en derechos LGBT en Europa.
España,Seguro,Avances legales significativos.
Uruguay,Seguro,Leyes progresistas que promueven la igualdad.
Uganda,Inseguro,Leyes que criminalizan la homosexualidad.
Burkina Faso,Inseguro,Leyes homófobas que aumentan discriminación.
Qatar,Inseguro,Penaliza relaciones homosexuales.
Arabia Saudita,Inseguro,Relaciones homosexuales castigadas con pena de muerte.
Irán,Inseguro,Ambiente de persecución severa.
