País,Año,Legislación
Afghanistan,1976,Ilegal
Afghanistan,1977,Ilegal
Afghanistan,1978,Ilegal
Afghanistan,1979,Ilegal
Afghanistan,1980,Ilegal
Afghanistan,1981,Ilegal
Afghanistan,1982,Ilegal
Afghanistan,1983,Ilegal
Afghanistan,1984,Ilegal
Afghanistan,1985,Ilegal
Afghanistan,1986,Ilegal
Afghanistan,1987,Ilegal
Afghanistan,1988,Ilegal
Afghanistan,1989,Ilegal
Afghanistan,1990,Ilegal
Afghanistan,1991,Ilegal
Afghanistan,1992,Ilegal
Afghanistan,1993,Ilegal
Afghanistan,1994,Ilegal
Afghanistan,1995,Ilegal
Afghanistan,1996,Ilegal
Afghanistan,1997,Ilegal
Afghanistan,1998,Ilegal
Afghanistan,1999,Ilegal
Afghanistan,2000,Ilegal
Afghanistan,2001,Ilegal
Afghanistan,2002,Ilegal
Afghanistan,2003,Ilegal
Afghanistan,2004,Ilegal
Afghanistan,2005,Ilegal
Afghanistan,2006,Ilegal
Afghanistan,2007,Ilegal
Afghanistan,2008,Ilegal
Afghanistan,2009,Ilegal
Afghanistan,2010,Ilegal
Afghanistan,2011,Ilegal
Afghanistan,2012,Ilegal
Afghanistan,2013,Ilegal
Afghanistan,2014,Ilegal
Afghanistan,2015,Ilegal
Afghanistan,2016,Ilegal
Afghanistan,2017,Ilegal
Afghanistan,2018,Ilegal
Afghanistan,2019,Ilegal
Afghanistan,2020,Ilegal
Afghanistan,2021,Ilegal
Afghanistan,2022,Ilegal
Afghanistan,2023,Ilegal
Afghanistan,2024,Ilegal
Albania,1977,Ilegal
Albania,1978,Ilegal
Albania,1979,Ilegal
Albania,1980,Ilegal
Albania,1981,Ilegal
Albania,1982,Ilegal
Albania,1983,Ilegal
Albania,1984,Ilegal
Albania,1985,Ilegal
Albania,1986,Ilegal
Albania,1987,Ilegal
Albania,1988,Ilegal
Albania,1989,Ilegal
Albania,1990,Ilegal
Albania,1991,Ilegal
Albania,1992,Ilegal
Albania,1993,Ilegal
Albania,1994,Ilegal
Albania,1995,Legal
Albania,1996,Legal
Albania,1997,Legal
Albania,1998,Legal
Albania,1999,Legal
Albania,2000,Legal
Albania,2001,Legal
Albania,2002,Legal
Albania,2003,Legal
Albania,2004,Legal
Albania,2005,Legal
Albania,2006,Legal
Albania,2007,Legal
Albania,2008,Legal
Albania,2009,Legal
Albania,2010,Legal
Albania,2011,Legal
Albania,2012,Legal
Albania,2013,Legal
Albania,2014,Legal
Albania,2015,Legal
Albania,2016,Legal
Albania,2017,Legal
Albania,2018,Legal
Albania,2019,Legal
Albania,2020,Legal
Albania,2021,Legal
Albania,2022,Legal
Albania,2023,Legal
Albania,2024,Legal
Algeria,1966,Ilegal
Algeria,1967,Ilegal
Algeria,1968,Ilegal
Algeria,1969,Ilegal
Algeria,1970,Ilegal
Algeria,1971,Ilegal
Algeria,1972,Ilegal
Algeria,1973,Ilegal
Algeria,1974,Ilegal
Algeria,1975,Ilegal
Algeria,1976,Ilegal
Algeria,1977,Ilegal
Algeria,1978,Ilegal
Algeria,1979,Ilegal
Algeria,1980,Ilegal
Algeria,1981,Ilegal
Algeria,1982,Ilegal
Algeria,1983,Ilegal
Algeria,1984,Ilegal
Algeria,1985,Ilegal
Algeria,1986,Ilegal
Algeria,1987,Ilegal
Algeria,1988,Ilegal
Algeria,1989,Ilegal
Algeria,1990,Ilegal
Algeria,1991,Ilegal
Algeria,1992,Ilegal
Algeria,1993,Ilegal
Algeria,1994,Ilegal
Algeria,1995,Ilegal
Algeria,1996,Ilegal
Algeria,1997,Ilegal
Algeria,1998,Ilegal
Algeria,1999,Ilegal
Algeria,2000,Ilegal
Algeria,2001,Ilegal
Algeria,2002,Ilegal
Algeria,2003,Ilegal
Algeria,2004,Ilegal
Algeria,2005,Ilegal
Algeria,2006,Ilegal
Algeria,2007,Ilegal
Algeria,2008,Ilegal
Algeria,2009,Ilegal
Algeria,2010,Ilegal
Algeria,2011,Ilegal
Algeria,2012,Ilegal
Algeria,2013,Ilegal
Algeria,2014,Ilegal
Algeria,2015,Ilegal
Algeria,2016,Ilegal
Algeria,2017,Ilegal
Algeria,2018,Ilegal
Algeria,2019,Ilegal
Algeria,2020,Ilegal
Algeria,2021,Ilegal
Algeria,2022,Ilegal
Algeria,2023,Ilegal
Algeria,2024,Ilegal
Andorra,1950,Legal
Andorra,1951,Legal
Andorra,1952,Legal
Andorra,1953,Legal
Andorra,1954,Legal
Andorra,1955,Legal
Andorra,1956,Legal
Andorra,1957,Legal
Andorra,1958,Legal
Andorra,1959,Legal
Andorra,1960,Legal
Andorra,1961,Legal
Andorra,1962,Legal
Andorra,1963,Legal
Andorra,1964,Legal
Andorra,1965,Legal
Andorra,1966,Legal
Andorra,1967,Legal
Andorra,1968,Legal
Andorra,1969,Legal
Andorra,1970,Legal
Andorra,1971,Legal
Andorra,1972,Legal
Andorra,1973,Legal
Andorra,1974,Legal
Andorra,1975,Legal
Andorra,1976,Legal
Andorra,1977,Legal
Andorra,1978,Legal
Andorra,1979,Legal
Andorra,1980,Legal
Andorra,1981,Legal
Andorra,1982,Legal
Andorra,1983,Legal
Andorra,1984,Legal
Andorra,1985,Legal
Andorra,1986,Legal
Andorra,1987,Legal
Andorra,1988,Legal
Andorra,1989,Legal
Andorra,1990,Legal
Andorra,1991,Legal
Andorra,1992,Legal
Andorra,1993,Legal
Andorra,1994,Legal
Andorra,1995,Legal
Andorra,1996,Legal
Andorra,1997,Legal
Andorra,1998,Legal
Andorra,1999,Legal
Andorra,2000,Legal
Andorra,2001,Legal
Andorra,2002,Legal
Andorra,2003,Legal
Andorra,2004,Legal
Andorra,2005,Legal
Andorra,2006,Legal
Andorra,2007,Legal
Andorra,2008,Legal
Andorra,2009,Legal
Andorra,2010,Legal
Andorra,2011,Legal
Andorra,2012,Legal
Andorra,2013,Legal
Andorra,2014,Legal
Andorra,2015,Legal
Andorra,2016,Legal
Andorra,2017,Legal
Andorra,2018,Legal
Andorra,2019,Legal
Andorra,2020,Legal
Andorra,2021,Legal
Andorra,2022,Legal
Andorra,2023,Legal
Andorra,2024,Legal
Angola,1950,Ilegal
Angola,1951,Ilegal
Angola,1952,Ilegal
Angola,1953,Ilegal
Angola,1954,Ilegal
Angola,1955,Ilegal
Angola,1956,Ilegal
Angola,1957,Ilegal
Angola,1958,Ilegal
Angola,1959,Ilegal
Angola,1960,Ilegal
Angola,1961,Ilegal
Angola,1962,Ilegal
Angola,1963,Ilegal
Angola,1964,Ilegal
Angola,1965,Ilegal
Angola,1966,Ilegal
Angola,1967,Ilegal
Angola,1968,Ilegal
Angola,1969,Ilegal
Angola,1970,Ilegal
Angola,1971,Ilegal
Angola,1972,Ilegal
Angola,1973,Ilegal
Angola,1974,Ilegal
Angola,1975,Ilegal
Angola,1976,Ilegal
Angola,1977,Ilegal
Angola,1978,Ilegal
Angola,1979,Ilegal
