Entity,Code,Year,Homosexual activity (historical)
Afghanistan,AFG,1976,"Illegal, death penalty"
Afghanistan,AFG,1977,"Illegal, death penalty"
Afghanistan,AFG,1978,"Illegal, death penalty"
Afghanistan,AFG,1979,"Illegal, death penalty"
Afghanistan,AFG,1980,"Illegal, death penalty"
Afghanistan,AFG,1981,"Illegal, death penalty"
Afghanistan,AFG,1982,"Illegal, death penalty"
Afghanistan,AFG,1983,"Illegal, death penalty"
Afghanistan,AFG,1984,"Illegal, death penalty"
Afghanistan,AFG,1985,"Illegal, death penalty"
Afghanistan,AFG,1986,"Illegal, death penalty"
Afghanistan,AFG,1987,"Illegal, death penalty"
Afghanistan,AFG,1988,"Illegal, death penalty"
Afghanistan,AFG,1989,"Illegal, death penalty"
Afghanistan,AFG,1990,"Illegal, death penalty"
Afghanistan,AFG,1991,"Illegal, death penalty"
Afghanistan,AFG,1992,"Illegal, death penalty"
Afghanistan,AFG,1993,"Illegal, death penalty"
Afghanistan,AFG,1994,"Illegal, death penalty"
Afghanistan,AFG,1995,"Illegal, death penalty"
Afghanistan,AFG,1996,"Illegal, death penalty"
Afghanistan,AFG,1997,"Illegal, death penalty"
Afghanistan,AFG,1998,"Illegal, death penalty"
Afghanistan,AFG,1999,"Illegal, death penalty"
Afghanistan,AFG,2000,"Illegal, death penalty"
Afghanistan,AFG,2001,"Illegal, death penalty"
Afghanistan,AFG,2002,"Illegal, death penalty"
Afghanistan,AFG,2003,"Illegal, death penalty"
Afghanistan,AFG,2004,"Illegal, death penalty"
Afghanistan,AFG,2005,"Illegal, death penalty"
Afghanistan,AFG,2006,"Illegal, death penalty"
Afghanistan,AFG,2007,"Illegal, death penalty"
Afghanistan,AFG,2008,"Illegal, death penalty"
Afghanistan,AFG,2009,"Illegal, death penalty"
Afghanistan,AFG,2010,"Illegal, death penalty"
Afghanistan,AFG,2011,"Illegal, death penalty"
Afghanistan,AFG,2012,"Illegal, death penalty"
Afghanistan,AFG,2013,"Illegal, death penalty"
Afghanistan,AFG,2014,"Illegal, death penalty"
Afghanistan,AFG,2015,"Illegal, death penalty"
Afghanistan,AFG,2016,"Illegal, death penalty"
Afghanistan,AFG,2017,"Illegal, death penalty"
Afghanistan,AFG,2018,"Illegal, death penalty"
Afghanistan,AFG,2019,"Illegal, death penalty"
Afghanistan,AFG,2020,"Illegal, death penalty"
Afghanistan,AFG,2021,"Illegal, death penalty"
Afghanistan,AFG,2022,"Illegal, death penalty"
Afghanistan,AFG,2023,"Illegal, death penalty"
Afghanistan,AFG,2024,"Illegal, death penalty"
Albania,ALB,1977,"Male illegal, female legal or uncertain"
Albania,ALB,1978,"Male illegal, female legal or uncertain"
