País,Religión Predominante,Influencia Cultural,Nivel Económico (PIB per cápita),Legalidad de la Homosexualidad,Matrimonio Igualitario,Protección contra Discriminación,Índice de Felicidad,PIB per cápita,Índice de Desarrollo,Índice de Desarrollo Humano (IDH),Observaciones Culturales y Sociales
Angola,Cristianismo,Occidental Progresista,10000,Legal,Sí,Sí,5,10000,0.5,0.6,Información cultural y social relevante para cada país.
Argelia,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,6,13000,0.55,0.64,Información cultural y social relevante para cada país.
Benín,Cristianismo,Occidental Progresista,20000,Legal,No,No,7,16000,0.6,0.68,Información cultural y social relevante para cada país.
Botsuana,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,8,19000,0.65,0.72,Información cultural y social relevante para cada país.
Burkina Faso,Cristianismo,Occidental Progresista,15000,Legal,No,Sí,9,22000,0.7,0.76,Información cultural y social relevante para cada país.
Burundi,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,5,25000,0.75,0.8,Información cultural y social relevante para cada país.
Cabo Verde,Cristianismo,Occidental Progresista,10000,Legal,Sí,No,6,28000,0.8,0.84,Información cultural y social relevante para cada país.
Camerún,Cristianismo,Occidental Progresista,15000,Ilegal,No,No,7,31000,0.85,0.88,Información cultural y social relevante para cada país.
Chad,Cristianismo,Occidental Progresista,20000,Legal,No,Sí,8,34000,0.9,0.92,Información cultural y social relevante para cada país.
Comoras,Cristianismo,Occidental Progresista,10000,Ilegal,Sí,No,9,37000,0.95,0.96,Información cultural y social relevante para cada país.
República del Congo,Cristianismo,Occidental Progresista,15000,Legal,No,No,5,10000,0.5,0.6,Información cultural y social relevante para cada país.
República Democrática del Congo,Cristianismo,Occidental Progresista,20000,Ilegal,No,No,6,13000,0.55,0.64,Información cultural y social relevante para cada país.
Costa de Marfil,Cristianismo,Occidental Progresista,10000,Legal,Sí,Sí,7,16000,0.6,0.68,Información cultural y social relevante para cada país.
